Title,Artist,Link
 Untitled (1969),Richard Easson,https://collections.ed.ac.uk/art/record/99830?highlight=*:*
 Untitled (1987),Pamela Richardson,https://collections.ed.ac.uk/art/record/21570?highlight=*:*
 Abstract Composition with Blue Stripes (1969),Ian G. Robertson,https://collections.ed.ac.uk/art/record/22562?highlight=*:*
 Untitled - Abstract Road (1965),Laura McPherson,https://collections.ed.ac.uk/art/record/99393?highlight=*:*
 Nude Woman Standing (1961),Rose A. K. Forsyth,https://collections.ed.ac.uk/art/record/122826?highlight=*:*
 Light Around Limbo (2016),Joseph Glover,https://collections.ed.ac.uk/art/record/99263?highlight=*:*
 Untitled (1963),Madelane Galloway,https://collections.ed.ac.uk/art/record/22005?highlight=*:*
 Life Drawing (Male Nude Reclining on Front) (1962),John Bellany,https://collections.ed.ac.uk/art/record/20763?highlight=*:*
 South Frieze of the Parthenon Frieze (1836-1837),,https://collections.ed.ac.uk/art/record/20690?highlight=*:*
" Seated Fate, east pediment of the Parthenon ",,https://collections.ed.ac.uk/art/record/20637?highlight=*:*
 Untitled (2004),Rebecca Firth,https://collections.ed.ac.uk/art/record/21818?highlight=*:*
 Untitled (2003),Andrea Bain,https://collections.ed.ac.uk/art/record/99938?highlight=*:*
 Empty Potato Field ,Frances M. Walker,https://collections.ed.ac.uk/art/record/22693?highlight=*:*
 Portrait of a Seated Woman (1965-1966),George Donald,https://collections.ed.ac.uk/art/record/21172?highlight=*:*
 Sitting Nude Woman (1961),Ann F Ward,https://collections.ed.ac.uk/art/record/122817?highlight=*:*
 Self Portrait (1949),Alison E. H. Stuart,https://collections.ed.ac.uk/art/record/122762?highlight=*:*
 Portrait of Woman (1951),Allan Carr,https://collections.ed.ac.uk/art/record/122922?highlight=*:*
 Untitled (1983),Robert Rivers,https://collections.ed.ac.uk/art/record/99801?highlight=*:*
 Powderhall (1994),Jane Weatherly,https://collections.ed.ac.uk/art/record/122967?highlight=*:*
 Standing Male Nude (1960),Thomas T Robertson,https://collections.ed.ac.uk/art/record/20806?highlight=*:*
 Untitled - City Highrise (Feb 1962),William Gillon,https://collections.ed.ac.uk/art/record/99482?highlight=*:*
 Candle and Shell at Sea* (1987),Donald Clark,https://collections.ed.ac.uk/art/record/22729?highlight=*:*
 Untitled (2002),Sarah Sanford,https://collections.ed.ac.uk/art/record/99954?highlight=*:*
 Wildflowers and Butterfly (Circa 1954),John P Busby,https://collections.ed.ac.uk/art/record/22627?highlight=*:*
 Abstract Composition (1962),James T Carlyle,https://collections.ed.ac.uk/art/record/21280?highlight=*:*
 Unknown (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50524?highlight=*:*
 Seated Female Nude (1960s),Irene Scott,https://collections.ed.ac.uk/art/record/21283?highlight=*:*
 Pylons in the Landscape (01 May 1985),Allison E Sharpe,https://collections.ed.ac.uk/art/record/21468?highlight=*:*
 Unknown (1952),Alistair Fairweather,https://collections.ed.ac.uk/art/record/50422?highlight=*:*
 Full length portrait of man from behind with three-point hat and sabre (22 Mar 1951),Diana M. Douglas-Hamilton,https://collections.ed.ac.uk/art/record/53527?highlight=*:*
 Unknown (1947),Sheila Turnbull,https://collections.ed.ac.uk/art/record/50455?highlight=*:*
" Venus de Milo, 130-10 BC ",Unknown,https://collections.ed.ac.uk/art/record/20592?highlight=*:*
